,time stamp,LU1 x,LU1 y,LU1 th,LU2 x,LU2 y,LU2 th
0,22:28:10,120,24,89.94386,124,262,90.08695
1,22:28:11,120,24,92.565575,0,0,0.0
2,22:28:11,125,25,96.8971,0,0,0.0
3,22:28:11,128,24,96.141045,124,261,89.9868
4,22:28:11,134,24,98.78444,0,0,0.0
5,22:28:11,136,24,98.90157,124,260,89.61013
6,22:28:11,144,24,102.4232,125,259,91.65377
7,22:28:11,147,24,103.74261,0,0,0.0
8,22:28:11,149,23,105.87297,0,0,0.0
9,22:28:11,154,24,105.97295,0,0,0.0
10,22:28:11,158,24,105.51902,125,257,94.54936
11,22:28:11,161,25,107.82016,0,0,0.0
12,22:28:11,167,26,112.06393,126,257,73.17691
13,22:28:11,170,27,113.24858,126,257,94.16508
14,22:28:11,177,29,117.10205,0,0,0.0
15,22:28:11,180,29,115.98474,0,0,0.0
16,22:28:11,183,30,115.88661,0,0,0.0
17,22:28:11,188,32,117.89923,0,0,0.0
18,22:28:11,190,32,118.99273,0,0,0.0
19,22:28:11,199,34,120.530655,0,0,0.0
20,22:28:11,202,35,123.981064,123,256,102.604065
21,22:28:11,205,37,123.32059,122,256,101.983734
22,22:28:12,210,39,123.52538,0,0,0.0
23,22:28:12,211,40,125.607086,0,0,0.0
24,22:28:12,213,41,129.40367,0,0,0.0
25,22:28:12,220,44,130.50858,122,256,105.06377
26,22:28:12,224,46,128.7168,121,256,105.611084
27,22:28:12,230,51,135.03482,120,257,108.80464
28,22:28:12,233,52,132.47874,119,257,108.8013
29,22:28:12,237,55,138.61598,117,258,109.92547
30,22:28:12,240,57,136.94827,116,258,111.73922
31,22:28:12,244,61,139.4956,115,258,101.178566
32,22:28:12,247,63,138.55745,115,259,113.142105
33,22:28:12,249,66,147.5113,115,258,114.841446
34,22:28:12,254,68,144.85435,115,258,114.841446
35,22:28:12,257,70,144.09906,115,258,116.123535
36,22:28:12,260,73,147.79185,115,258,116.01722
37,22:28:12,264,76,146.36174,114,257,106.2962
38,22:28:12,268,80,151.15186,0,0,0.0
39,22:28:12,0,0,0.0,113,257,110.82611
40,22:28:12,275,88,154.5716,115,257,120.83165
41,22:28:12,276,88,158.15698,117,257,123.30397
42,22:28:12,279,93,159.48302,115,257,120.83165
43,22:28:13,283,98,160.13928,115,257,120.28429
44,22:28:13,285,100,161.6681,0,0,0.0
45,22:28:13,288,104,165.39133,114,257,112.50617
46,22:28:13,289,107,168.10411,114,257,112.50617
47,22:28:13,292,111,169.749,113,257,125.27119
48,22:28:13,293,113,169.7437,0,0,0.0
49,22:28:13,294,117,170.77834,0,0,0.0
50,22:28:13,297,123,174.5144,0,0,0.0
51,22:28:13,299,128,174.74794,0,0,0.0
52,22:28:13,299,129,176.46193,110,258,129.46414
53,22:28:13,302,135,178.28038,109,258,118.10643
54,22:28:13,303,137,179.12744,0,0,0.0
55,22:28:13,303,140,179.8839,108,259,130.9092
56,22:28:13,306,145,-177.40721,0,0,0.0
57,22:28:13,307,149,-176.403,108,259,131.50584
58,22:28:13,309,155,-172.70668,107,261,133.3116
59,22:28:13,310,157,-170.23961,107,261,126.3464
60,22:28:13,311,162,-170.72348,106,261,122.35125
61,22:28:13,311,165,-169.8527,105,262,128.63275
62,22:28:13,312,168,-168.72374,104,263,138.53468
63,22:28:13,312,176,-166.84766,103,264,140.22
64,22:28:14,313,180,-166.80298,101,265,141.09279
65,22:28:14,313,187,-166.79276,98,268,142.99426
66,22:28:14,313,191,-165.27702,96,270,131.69247
67,22:28:14,312,197,-165.2721,92,273,144.16838
68,22:28:14,311,200,-166.87746,90,275,147.07448
69,22:28:14,310,209,-166.95918,86,278,147.40508
70,22:28:14,310,212,-166.87825,83,279,148.09912
71,22:28:14,309,219,-168.15364,78,282,152.18694
72,22:28:14,307,225,-166.80074,74,285,153.14354
73,22:28:14,306,229,-169.0481,70,285,132.98247
74,22:28:14,305,236,-166.79616,68,287,141.40785
75,22:28:14,305,240,-167.83372,67,288,142.778
76,22:28:14,303,247,-166.87775,64,289,160.89665
77,22:28:14,303,250,-168.553,62,289,157.38063
78,22:28:14,302,254,-166.93376,0,0,0.0
79,22:28:14,302,259,-164.2185,59,289,144.7402
80,22:28:14,301,262,-163.26344,59,289,160.82346
81,22:28:14,301,268,-162.8135,58,289,160.66449
82,22:28:14,301,273,-162.23854,57,289,165.37083
83,22:28:15,300,278,-161.03409,56,289,167.52623
84,22:28:15,300,280,-159.17233,0,0,0.0
85,22:28:15,299,285,-159.19815,55,289,168.88368
86,22:28:15,298,288,-159.02289,54,289,167.92
87,22:28:15,297,292,-155.14783,54,288,170.092
88,22:28:15,295,298,-152.67062,53,288,156.9731
89,22:28:15,295,301,-153.8106,52,288,171.84843
90,22:28:15,292,308,-152.22379,49,287,174.08415
91,22:28:15,291,311,-152.16608,48,287,175.00058
92,22:28:15,290,313,-149.3562,48,286,175.05177
93,22:28:15,288,318,-149.94112,47,286,175.80305
