x_model,y_model,angle_model,k1_model,k2_model,v1,v2,u0,v0,r0,x,y,angle,k1,k2,s1,s2,time
0.23365069129537505,0.2632530278163486,-0.37626360014385285,-26.0,-11.249999999999998,0.007889903023036889,0.010502183792620133,0.0,0.0,0.0,0.231,0.262,-0.3400000035762787,-27.0,-16.0,0,1,16:24:45
0.23162138108532285,0.26324618598909955,-0.38002150474246915,-27.0,-9.0,0.007729004928902741,0.009618819488918795,0.0,0.0,0.0,0.231,0.262,-0.3400000035762787,-27.0,-16.0,0,1,16:24:45
0.23162138108532285,0.26324618598909955,-0.38002150474246915,-27.0,-9.0,0.007729004928902741,0.009618819488918795,0.0,0.0,0.0,0.231,0.262,-0.3400000035762787,-26.0,-16.0,0,1,16:24:45
0.23164686790511113,0.26333045216532663,-0.3725178630629543,-27.0,-9.0,0.008211103088431593,0.009518760823459666,0.0,0.0,0.0,0.231,0.262,-0.33000001311302185,-27.0,-15.0,0,1,16:24:45
0.2306150549173516,0.26228639121183256,-0.3785312420878571,-26.0,-7.499999999999999,0.007879594042226622,0.008946497357650702,0.0,0.0,0.0,0.23,0.261,-0.3230000138282776,-26.0,-15.0,0,1,16:24:45
0.2306150549173516,0.26228639121183256,-0.3785312420878571,-27.0,-7.499999999999999,0.007879594042226622,0.008946497357650702,0.0,0.0,0.0,0.23,0.262,-0.30399999022483826,-26.0,-15.0,0,1,16:24:45
0.23060629951589812,0.26328908063671,-0.37927300977094625,-27.0,-6.750000000000001,0.007855430926551804,0.008621842306538821,0.0,0.0,0.0,0.23,0.262,-0.33000001311302185,-26.0,-12.0,0,1,16:24:45
0.23062105176393913,0.26337876250723274,-0.37251882417818716,-27.0,-6.000000000000001,0.008321061894940638,0.008187229364251623,0.0,0.0,0.0,0.23,0.262,-0.3140000104904175,-26.0,-11.0,0,1,16:24:45
0.23063472801390522,0.2633926748744397,-0.3702683852132649,-27.0,-6.75,0.008439691058662135,0.00849870312903258,0.0,0.0,0.0,0.23,0.264,-0.3059999942779541,-26.0,-12.0,0,1,16:24:45
0.2306560127729645,0.26569310741436086,-0.34923712973400145,-25.0,-3.7500000000000018,0.00992997316948957,0.006793340781236983,0.0,0.0,0.0,0.23,0.264,-0.29899999499320984,-26.0,-10.0,0,1,16:24:45
0.2306560127729645,0.26569310741436086,-0.34923712973400145,-26.0,-3.7500000000000018,0.00992997316948957,0.006793340781236983,0.0,0.0,0.0,0.23,0.264,-0.3070000112056732,-26.0,-9.0,0,1,16:24:45
0.2306560127729645,0.26569310741436086,-0.34923712973400145,-26.0,-3.7500000000000018,0.00992997316948957,0.006793340781236983,0.0,0.0,0.0,0.228,0.262,-0.3240000009536743,-26.0,-8.0,0,1,16:24:46
0.22861338564524614,0.26358459524809374,-0.36051486150122386,-26.0,-2.249999999999999,0.009255471823993297,0.006205051697698617,0.0,0.0,0.0,0.228,0.262,-0.3140000104904175,-25.0,-8.0,0,1,16:24:46
0.22858777264828012,0.26345748210203596,-0.3710208806733854,-25.0,-2.249999999999999,0.008560243801913637,0.006356149723827723,0.0,0.0,0.0,0.228,0.264,-0.3059999942779541,-25.0,-6.0,0,1,16:24:46
0.22857545515083966,0.26545089977550956,-0.3725037605708384,-26.0,-1.5,0.008485472083093122,0.005996457476382677,0.0,0.0,0.0,0.228,0.264,-0.32199999690055847,-26.0,-5.0,0,1,16:24:46
0.2285814422815331,0.26553637363309857,-0.3664990842895926,-26.0,-0.75,0.008913366177538237,0.005519709555280354,0.0,0.0,0.0,0.227,0.264,-0.32199999690055847,-26.0,-6.0,0,1,16:24:46
0.22756712215337024,0.26546306951977144,-0.37250599163659726,-26.0,-0.7499999999999991,0.008514137559786635,0.005607369332572091,0.0,0.0,0.0,0.227,0.264,-0.33000001311302185,-26.0,-5.0,0,1,16:24:46
0.22757264154697196,0.2654905627067065,-0.37025461398102266,-26.0,-0.7499999999999991,0.008664094165325023,0.005574442928851457,0.0,0.0,0.0,0.227,0.265,-0.33000001311302185,-26.0,-6.0,0,1,16:24:46
0.22755839615771145,0.2664748101493872,-0.37249615578717427,-26.0,-8.881784197001252e-16,0.00854047475513539,0.005211790032813497,0.0,0.0,0.0,0.227,0.265,-0.32199999690055847,-27.0,-5.0,0,1,16:24:46
0.22757875574536549,0.26658579068891297,-0.363490591906324,-26.0,0.0,0.009142273228252335,0.005078973124340991,0.0,0.0,0.0,0.226,0.265,-0.3149999976158142,-25.0,-5.0,0,1,16:24:46
0.22655473027742953,0.2665148058311354,-0.3702466777204017,-25.0,0.7500000000000009,0.008720214913242248,0.004775090428897772,0.0,0.0,0.0,0.226,0.265,-0.3490000069141388,-26.0,-2.0,0,1,16:24:46
0.22654544917935088,0.2665269891562245,-0.3702453224044719,-26.0,1.4999999999999991,0.008748939945581421,0.00436453130768827,0.0,0.0,0.0,0.226,0.266,-0.33000001311302185,-26.0,-1.0,0,1,16:24:46
0.22654480597225257,0.26759541345129084,-0.36573214242789753,-26.0,2.249999999999999,0.009079829198057424,0.0038789709276179744,0.0,0.0,0.0,0.224,0.266,-0.3490000069141388,-26.0,-0.0,0,1,16:24:46
0.2245715209972151,0.2686957246596159,-0.3567249060689974,-25.0,1.5000000000000018,0.009655203503307877,0.0041624603136924156,0.0,0.0,0.0,0.224,0.269,-0.32100000977516174,-27.0,-0.0,0,1,16:24:46
0.2245343755385129,0.2706071463942262,-0.3657096862947198,-26.0,3.0,0.009105450972240794,0.003454106565659505,0.0,0.0,0.0,0.223,0.269,-0.33000001311302185,-26.0,0.0,0,1,16:24:46
